#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>";"Constituirá la parte final de su dirección web del perfil, por ejemplo: <br /> <span id=""profile_address"">http://%s</span>"
"You are now friends with %s";"Ha añadido como contacto a %s"
"You ignored %s's request to follow you";"Ha ignorado la solicitud de seguimiento de %s"
"You ignored a friend request from %s";"Ignoró la solicitud de contacto de %s"
"You are now following this member.";"Está siguiendo las noticias de este usuario."
"You are now friends with this member.";"Ha añadido a este usuario como contacto."
"Delete User";"Eliminar usuario"
"Are you sure you want to delete this user?";"¿Desea eliminar esta cuenta de usuario?"
"Remove User";"Quitar Usuario"
"Edit Member";"Editar Usuario"
"You can change the details of this member's account here.";"Puede cambiar los detalles de la cuenta de este usuario aquí."
"Enabled?";"¿Habilitado?"
"Verified?";"¿Verificado?"
"Approved";"Aprobado"
"Not Approved";"No Aprobado"
"Search";"Buscar"
"Friendship Settings";"Tipología de Contacto"
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitar el establecimiento de contacto entre usuarios es la clave para construir una Red Social con éxito. Hay diferentes tipos de conexiones que pueden establecerse entre usuarios. Utilice este apartado para determinar cómo quiere que sus usuarios se relacionen entre sí. Normalmente nos referimos a estas conexiones como Amigos o Amistades, pero usted puede elegir la que mejor se adecúe a su red Social. En caso de tratarse de una Red Social de trabajo puede que prefiera Conexiones o Amigos en vez de Amistades."
"Who Can Become Friends";"Quiénes pueden establecer Contacto"
"USER_FORM_ADMIN_SETTINGS_ELIGIBLE_DESCRIPTION";"¿A Quiénes pueden los usuarios invitar como Amigos? Adviértase que si se dice Nadie, ninguno de los ajustes posteriores surtirá efecto."
"Only members in their networks";"Sólo usuarios de sus propias Redes"
"Nobody";"Nadie"
"Friendship Direction";"Direccionalidad de los amigos"
"USER_FORM_ADMIN_SETTINGS_DIRECTION_DESCRIPTION";"Su Red Social puede permitir relaciones unidireccionales o bidireccionales. El ajuste por defecto es el bidireccional al ser el más extendido y común en las Redes Sociales. Las relaciones unidireccionales suponen que un Usuario A añade al Usuario B, apareciendo el usuario B en la lista de amigos del Usuario A pero no existe reciprocidad. El usuario A no existirá en la lista de amigos del Usuario B."
"Two-way Friendships";"Bidireccional"
"One-way Friendships";"Unidireccional"
"Friendship Verification";"Confirmación del contacto"
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Su red Social puede permitir relaciones o conexiones confirmadas o sin confirmar. La opción por defecto es Confirmadas al ser la más extendida y popular. La no Confirmación conlleva que cuando un Usuario A añade a un Usuario B ambos formarán parte de las listas de amigos de ambos sin mayor verificación por parte del que instó la relación."
"Verified Friendships";"Relaciones Confirmadas"
"Unverified Friendships";"Relaciones NO Confirmadas"
"Friend Lists";"Listas de Amigos"
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Añada tipos de relación para permitir a sus usuarios establecer listas con los distintos grados de cercanía o conexión que tienen con sus amigos. Los ejemplos típicos de Tipos de conexión incluyen ""Conocidos"", ""Colega de trabajo"", ""Mejor Amigo"", ""Otros de importancia"", etc. Si sólo especifica un tipo de amistad o deja este área en blanco, los usuarios no tendrán la posibilidad de catalogarlos cuando conectan unos con otros."
"Yes, users can group their friends into lists";"Sí, los usuarios pueden agrupar sus amigos en listas"
"No, do not allow friend lists";"No, no permitir listas de amigos"
"Specify what privacy options will be available to members in this level.";"Especificar qué opciones de privacidad estarán disponibles para usuarios de este nivel."


"Allow Blocking?";"¿Permitir Bloquear?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"Si se indica que ""sí"", los usuarios pueden bloquear otros usuarios para que no les remitan mensajes privados, que les añadan como contacto o que vean su perfil. Esto ayuda en la lucha contra el Spam y el Abuso."
"Search Privacy Options";"Opciones de privacidad en las consultas"
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"Si se indica que ""sí"", los usuarios podrán excluirse a sí mismos de los resultados de búsqueda y el listado de miembros de la página principal (tales como entradas recientes, etc...). En caso contrario todos los usuarios serán incluidos en los resultados de búsqueda."
"Profile Viewing Options";"Opciones de visualización del perfil"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Los usuarios podrán seleccionar de la lista de abajo Quiénes pueden ver sus perfiles. Si no marca ninguna de las opciones todos están autorizados a visualizar sus perfiles."
"Profile Commenting Options";"Opciones de comentario en el Perfil"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Los usuarios podrán seleccionar de la lista de abajo Quiénes pueden comentar en sus perfiles. Si no marca ninguna de las opciones todos están autorizados a comentar en sus perfiles."
"Allow status messages?";"¿Permitir mensajes de estado?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_STATUS_DESCRIPTION";"Si indica que ""sí"", los usuarios pueden publicar su ""estado"" en su propio perfil. Actualizando su estado los usuarios pueden comunicar noticias o estados de ánimo al resto de usuarios de la red Social así como todo aquello que tengan en mente."
"Allow username changes?";"¿Permitir cambios de nombre de usuario?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_USERNAME_DESCRIPTION";"Si indica que ""sí"", los usuarios pueden cambiar su nombre de usuario. Si no se han habilitado nombres de usuario este ajuste no surte efecto alguno."
"If set to ""yes"", members will have the option of deleting their accounts.";"Si se configura como ""sí"", los usuarios dispondrán de la opción de borrar su cuenta."
"Step 1: Create Account";"Paso 1: Crear Cuenta"
"Auto-approve Members";"Aprobación inmediata de usuarios"
"USER_FORM_ADMIN_SIGNUP_APPROVE_DESCRIPTION";"Si ha seleccionado SI los usuarios serán activados automáticamente cuando se registran. Si selecciona NO, deberá aprobarlos manualmente en el apartado ""ver usuarios"". Los usuarios que no se activan no pueden identificarse."
"Yes, enable members upon signup.";"Sí, activar usuarios según se registran."
"No, do not enable members upon signup.";"No, no activar usuarios al registrarse."
"Yes, make members agree to your terms of service on signup.";"Sí, los usuarios deben aceptar las condiciones de uso."
"No, members will not be shown a terms of service checkbox on signup.";"No, no se les solicitará aceptar las condiciones de uso al registrarse."
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"¿Solicitar a los usuarios acceder a tus condiciones de uso del servicio?  Puede modificar el texto editando la variable de idioma #_CORE_TERMS_OF_SERVICE en la carpeta application/languages/es/custom.csv file."
"Generate Random Passwords?";"¿Generar contraseñas aleatorias?"
"USER_FORM_ADMIN_SIGNUP_RANDOM_DESCRIPTION";"Si ha seleccionado SI, se creará una contraseña aleatoria cuando se registren los nuevos usuarios. Esta contraseña será enviada por correo electrónico al momento de finalizar el proceso de registro. Es otro método de verificar el correo electrónico de los usuarios."
"Yes, generate random passwords and email to new members.";"Sí, generar contraseñas aleatorias y enviarlas por correo."
"No, let members choose their own passwords.";"No. Permitir a los usuarios elegir sus propias contraseñas."
"Verify Email Address?";"¿Verificar correo electrónico?"
"USER_FORM_ADMIN_SIGNUP_VERIFYEMAIL_DESCRIPTION";"¿Obligar a los usuarios a que verifiquen su cuenta de correo electrónico antes de poder identificarse? Si indica que SI, los usuarios recibirán un correo electrónico con un enlace de verificación que deben pulsar para activar sus cuentas recién creadas."
"Yes, verify email addresses.";"Sí, verificar cuentas de correo electrónico."
"No, just send members a welcome email";"No, sólo enviar un correo de bienvenida"
"No, do not email new members.";"No, no enviar correo a los usuarios."
"USER_FORM_ADMIN_SIGNUP_INVITEONLY_DESCRIPTION";"Desea impedir que se registren nuevos usuarios de forma pública y sólo permitir el registro de nuevos usuarios mediante invitación? Si es así, puede elegir que sean usuarios y administradores los que Inviten, o sólo Administradores. Así, se enviará un código que se requerirá para poder registrar el usuario. Nótese que si sólo los Administradores pueden invitar la opción de ""Invitar Amigos"" caso de estar habilitada en el proceso de registro será inhabilitada."
"Yes, admins and members must invite new members before they can signup.";"Sí, Administradores y Usuarios deben invitar a nuevos usuarios antes de que puedan registrarse."
"Yes, admins must invite new members before they can signup.";"Sí, los administradores deben invitar a los nuevos usuarios antes de que puedan registrarse."
"No, disable the invite only feature.";"No, inhabilitar la opción de sólo mediante invitación."
"Empty";"Vacío"
"USER_FORM_ADMIN_SIGNUP_CHECKEMAIL_DESCRIPTION";"¿Debe comprobarse que cada cada código se corresponde con el correo electrónico al que fue remitido? Si decide que NO, cualquiera con un código podrá registrarse independientemente del correo electrónico que emplee durante el registro. Si decide que SI sólo Quién esté en posesión de un código válido asociado a la cuenta de correo electrónico al que se remitió podrá registrarse."
"Yes, check that a member's email address was invited.";"Sí, comprobar que el correo electrónico se corresponde con la invitación."
"No, anyone with an invite code can signup.";"No, cualquiera con un código de invitación puede registrarse."
"Step %d: Create Profile";"Paso %d: Crear Perfil"
"USER_FORM_ADMIN_SIGNUP_FIELDS_DESCRIPTION";"En el siguiente paso del proceso de registro el usuario rellenará los campos de información de su perfil. Pulse <a href='%s'>aquí</a> para editar los campos del perfil."
"Step %d: Invite Your Friends";"Paso %d: Invitar a sus Amigos"
"Invite Friends";"Invitar a amigos"
"USER_FORM_ADMIN_SIGNUP_FIELDS_ENABLE_DESCRIPTION";"¿Desea que sus usuarios inviten a sus amigos durante el proceso de registro? Tenga en cuenta que este ajuste no tendrá efecto si ha decidido restringir el privilegio de enviar invitaciones a los administradores exclusivamente."
"No, do not include this step.";"No, no incluir este paso."
"User Photo Upload";"Selección de foto del usuario"
"Do you want your users to be able to upload a photo of themselves upon signup?";"¿Desea que sus usuarios puedan subir una foto de sí mismos durante el proceso de registro?"
"Yes, give users the option to upload a photo upon signup.";"Sí, dar a los usuarios la opción de subir una foto durante el proceso de registro."
"No, do not allow users to upload a photo upon signup.";"No, no permitir a los usuarios subir una foto durante el proceso de registro."
"Lost Password";"Contraseña olvidada"
"USER_FORM_AUTH_FORGOT_DESCRIPTION";"Si no puede entrar en la Red Social porque ha olvidado o extraviado su contraseña, introduzca el correo electrónico asociado a su cuenta en el siguiente campo e inmediatamente recibirá un mensaje en su correo con instrucciones para recuperar la contraseña."
"USER_FORM_AUTH_FACEBOOK_NOACCOUNT";"Se ha aceptado su identificación a través de FaceBook pero no se ha encontrado cuenta asociada. Le gustaría <a href=""%s"">Crear una Cuenta</a>?<br>También puede entrar con una cuenta existente y posteriormente enlazar su cuenta de FaceBook mediante un ajuste de su perfil en el apartado de <a href=""%2$s"">Ajustes</a>."
"Send Email";"Enviar"
"Reset password?";"¿Resetear contraseña?"
"Confirm New Password";"Confirme nueva contraseña"
"Reset Password";"Resetear contraseña"
"Facebook Integration";"Integración con Facebook"
"Integrate with my Facebook";"Integrar con mi Facebook"

#USERS
#Traducción al castellano formal - Valeria Glazunov - OKey GO - Versión 17 de Septiembre de 2010

"USER_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Los usuarios de su Red Social se listan aquí. Si necesita localizar a un usuario en concreto, introduzca el criterio de búsqueda en el campo que tiene a continuación."
"Are you sure you want to delete the selected user accounts?";"¿Desea borrar las cuentas de usuario seleccionadas?"
"Manage Members";"Administrar Usuarios"
"%s member found";"%s usuario encontrado";"%s usuarios encontrados"
"User Level";"Nivel de Usuario"
"Member Settings";"Preferencias de Usuario"
"Member Signup Process";"Proceso de registro de usuario"
"USER_VIEWS_SCRIPTS_ADMINSIGNUP_INDEX_DESCRIPTION";"Cuando se registran nuevos usuarios se les guía paso a paso para ayudarles a crear su cuenta de usuario y completar su perfil. Puede personalizar la mayoría de los aspectos de este proceso de registro aquí. A la izquierda puede ver una lista de todos los pasos que constituyen todo el proceso de registro. Puede alterar el orden de estos pasos pulsando y arrastrando a la posición deseada o bien empleando las flechas. No obstante, el primer paso no puede alterarse de posición al tratarse del momento en que se crea la cuenta por primera vez."
"USER_VIEWS_SCRIPTS_AUTH_FORGOT_DESCRIPTION";"Se le ha remitido un correo electrónico con instrucciones para resetear su contraseña. Si el correo no llega en pocos minutos, asegúrese de comprobar en su carpeta de spam o correo basura por si su gestor de correo lo hubiera desviado por error.."
